Employee ID,Departments,Promoted,Review,Projects,Salary,Tenure,Satisfaction,averageWorkingHours_month,left
30018129,Technical,0,0.46,2,Low,3,0.4,127,1
30018130,Technical,0,0.8,7,Low,4,0.1,281,1
30018131,Technical,0,0.89,6,Low,4,0.09,276,1
30018132,Technical,0,0.74,3,Low,4,0.84,182,1
30018133,Support,0,0.55,2,Low,3,0.4,147,1
30018134,Support,0,0.7,3,Low,6,0.57,273,1
30018135,Support,0,0.54,2,Low,3,0.4,148,1
30018136,Support,0,0.47,2,Low,3,0.43,147,1
30018137,Support,0,0.78,6,Low,2,0.13,152,1
30018138,Support,0,0.55,2,Low,3,0.44,135,1
30018139,Support,0,0.55,2,Low,3,0.38,134,1
30018140,Support,0,0.54,2,Low,3,0.39,132,1
30018141,Support,0,0.92,7,Low,4,0.1,307,1
30018142,Support,0,0.46,2,Low,3,0.37,140,1
30018143,Support,0,0.94,7,Low,4,0.11,255,1
30018144,Technical,0,0.81,6,Low,4,0.1,309,1
30018145,Technical,0,0.54,2,Low,3,0.38,128,1
30018146,Technical,0,1,4,Low,5,0.85,225,1
30018147,Management,0,0.91,5,Medium,5,0.85,226,1
30018148,IT,0,0.93,7,Medium,4,0.11,308,1
30018149,IT,0,0.95,6,Medium,5,0.1,244,1
30018150,IT,0,0.56,2,Medium,3,0.36,132,1
30018151,IT,0,0.94,6,Medium,4,0.11,286,1
30018152,IT,0,0.7,6,Medium,4,0.81,161,1
30018153,Product Management,0,0.54,2,Medium,3,0.43,153,1
30018154,Product Management,0,0.98,4,Medium,6,0.9,264,1
30018155,Product Management,0,0.86,5,Medium,5,0.76,223,1
30018156,Product Management,0,0.5,2,Medium,3,0.43,135,1
30018157,IT,0,0.99,2,Medium,3,0.74,277,1
30018158,Product Management,0,0.77,5,Medium,4,0.09,275,1
30018159,Product Management,0,0.49,2,HIgh,3,0.45,149,1
30018160,Product Management,0,0.87,7,Low,4,0.09,295,1
30018161,Product Management,0,0.97,6,Medium,4,0.11,277,1
30018162,Product Management,0,0.79,7,Medium,4,0.11,306,1
30018163,Product Management,0,0.83,6,Medium,4,0.1,295,1
30018164,Marketing,0,0.54,2,Medium,3,0.4,137,1
30018165,Sales,0,0.56,2,Low,3,0.43,157,1
30018166,Accounting,0,0.56,2,Low,3,0.39,142,1
30018167,Support,0,0.54,2,Low,3,0.45,140,1
30018168,Technical,0,0.49,2,Low,3,0.38,151,1
30018169,Management,1,0.59,4,Low,3,0.79,139,1
30018170,Marketing,0,0.85,4,Low,6,0.84,249,1
30018171,Marketing,0,0.77,6,Low,4,0.11,291,1
30018172,Marketing,0,0.87,6,Low,4,0.11,305,1
30018173,Sales,0,0.84,5,Low,3,0.17,232,1
30018174,Sales,0,0.45,2,Low,3,0.44,132,1
30018175,Sales,0,0.57,2,Low,3,0.37,130,1
30018176,Sales,0,0.79,6,Low,4,0.1,291,1
30018177,Sales,0,0.5,2,Low,3,0.4,130,1
30018178,Sales,0,1,5,Low,5,0.89,246,1
30018179,Sales,0,0.48,2,Low,3,0.42,143,1
30018180,Sales,0,0.55,2,Low,3,0.46,129,1
30018181,Sales,0,0.83,6,Low,4,0.09,255,1
30018182,Sales,0,0.51,2,Low,3,0.37,155,1
30018183,Sales,0,0.77,6,Low,4,0.1,265,1
30018184,Sales,0,0.84,6,Low,4,0.1,279,1
30018185,Sales,0,0.97,6,Low,4,0.11,284,1
30018186,Sales,0,1,5,Medium,6,0.9,221,1
30018187,Sales,0,0.52,2,Medium,3,0.38,154,1
30018188,Sales,0,0.52,2,Medium,3,0.36,147,1
30018189,Sales,0,0.46,2,Medium,3,0.42,150,1
30018190,Sales,0,0.94,7,Medium,4,0.09,267,1
30018191,Sales,0,0.52,2,Medium,3,0.43,158,1
30018192,Accounting,0,0.46,7,Medium,5,0.24,224,1
30018193,Accounting,0,1,4,Medium,5,0.91,257,1
30018194,Accounting,0,0.5,2,Medium,3,0.44,148,1
30018195,Human Resource,0,0.87,3,Medium,4,0.71,177,1
30018196,Human Resource,0,0.49,2,Medium,3,0.4,155,1
30018197,Human Resource,0,0.47,2,Medium,3,0.43,144,1
30018198,Human Resource,0,0.85,6,HIgh,4,0.09,289,1
30018199,Technical,0,0.52,2,Low,3,0.43,160,1
30018200,Technical,0,0.96,4,Medium,5,0.9,258,1
30018201,Technical,0,1,5,Medium,5,0.84,234,1
30018202,Technical,0,0.48,2,Medium,3,0.37,137,1
30018203,Technical,0,0.68,5,Medium,2,0.86,263,1
30018204,Technical,0,0.84,6,Low,4,0.11,251,1
30018205,Technical,0,0.57,2,Low,3,0.37,133,1
30018206,Technical,0,0.46,2,Low,3,0.4,132,1
30018207,Technical,0,0.62,4,Low,4,0.14,158,1
30018208,Technical,0,0.46,2,Low,3,0.4,135,1
30018209,Technical,0,1,4,Low,6,0.75,216,1
30018210,Support,0,0.84,6,Low,5,0.11,300,1
30018211,Support,0,0.49,2,Low,3,0.46,138,1
30018212,Support,0,0.92,6,Low,4,0.11,260,1
30018213,Support,0,0.49,2,Low,3,0.38,132,1
30018214,Support,0,0.89,3,Low,5,0.7,183,1
30018215,Support,0,0.82,6,Low,4,0.09,250,1
30018216,Support,0,0.45,2,Low,3,0.37,151,1
30018217,Support,0,0.83,6,Low,4,0.1,292,1
30018218,Support,0,0.57,2,Low,3,0.38,140,1
30018219,Support,0,1,5,Low,5,0.9,221,1
30018220,Support,0,0.51,2,Low,3,0.44,138,1
30018221,Technical,0,0.5,2,Low,3,0.36,132,1
30018222,Technical,0,0.84,7,Low,5,0.31,133,1
30018223,Technical,0,0.84,6,Low,4,0.1,283,1
30018224,Management,0,0.48,2,Low,3,0.42,129,1
30018225,IT,0,1,4,Low,5,0.74,249,1
30018226,IT,0,0.87,5,Low,5,0.73,257,1
30018227,IT,0,0.96,6,Low,4,0.09,245,1
30018228,IT,0,0.53,2,Low,3,0.45,155,1
30018229,IT,0,0.8,6,Low,4,0.11,256,1
30018230,Product Management,0,0.47,2,Low,3,0.37,152,1
30018231,Product Management,0,0.99,4,Low,5,0.84,267,1
30018232,Product Management,0,0.46,2,Low,3,0.41,151,1
30018233,Product Management,0,0.92,4,Low,5,0.76,239,1
30018234,IT,0,0.87,6,Low,4,0.11,306,1
30018235,Marketing,0,0.88,4,Low,5,0.84,263,1
30018236,Marketing,0,0.5,2,Low,3,0.39,147,1
30018237,Marketing,0,0.91,6,Low,4,0.11,278,1
30018238,Marketing,0,0.56,2,Low,3,0.45,154,1
30018239,Marketing,0,0.52,2,Low,3,0.37,143,1
30018240,Marketing,0,0.52,2,Low,3,0.4,155,1
30018241,Sales,0,0.48,2,Low,3,0.39,160,1
30018242,Accounting,0,0.8,6,Low,4,0.11,304,1
30018243,Support,0,1,5,Low,5,0.83,240,1
30018244,Technical,0,0.92,6,Low,4,0.11,305,1
30018245,Management,0,0.5,2,Low,3,0.39,136,1
30018246,Marketing,0,0.45,2,Low,3,0.45,132,1
30018247,Marketing,0,0.95,7,Low,4,0.1,301,1
30018248,Marketing,0,0.98,5,Low,6,0.9,243,1
30018249,Sales,0,0.51,2,Low,3,0.45,147,1
30018250,Sales,0,0.89,5,Low,5,0.79,239,1
30018251,Sales,0,0.99,5,Low,5,0.9,260,1
30018252,Sales,0,0.84,7,Low,4,0.11,296,1
30018253,Sales,0,0.55,2,Low,3,0.43,129,1
30018254,Sales,0,0.54,5,Low,5,0.31,132,1
30018255,Sales,0,0.5,2,Low,5,0.32,135,1
30018256,Sales,0,0.57,2,Low,3,0.45,158,1
30018257,Sales,0,0.99,4,Low,5,0.81,259,1
30018258,Sales,1,0.46,2,Low,3,0.41,160,1
30018259,Sales,0,0.78,7,Low,4,0.11,278,1
30018260,Sales,0,0.88,6,Low,4,0.1,284,1
30018261,Sales,0,0.53,2,Low,4,0.7,274,1
30018262,Sales,0,0.74,4,Low,2,0.54,164,1
30018263,Sales,0,0.48,2,Low,3,0.41,148,1
30018264,Sales,0,0.5,2,Medium,3,0.38,140,1
30018265,Sales,0,0.51,2,Medium,3,0.37,127,1
30018266,Sales,0,0.85,6,Medium,5,0.11,308,1
30018267,Sales,0,0.47,2,Medium,3,0.4,146,1
30018268,Accounting,0,0.84,6,Medium,4,0.1,261,1
30018269,Accounting,0,0.99,5,Medium,5,0.89,257,1
30018270,Accounting,0,0.8,6,Medium,4,0.11,285,1
30018271,Human Resource,0,0.55,2,Medium,3,0.36,141,1
30018272,Human Resource,0,0.46,2,Medium,3,0.4,127,1
30018273,Human Resource,0,0.85,6,Medium,4,0.09,297,1
30018274,Human Resource,0,0.46,2,Medium,3,0.4,143,1
30018275,Technical,0,0.55,2,Medium,3,0.37,152,1
30018276,Technical,0,0.51,2,HIgh,3,0.44,156,1
30018277,Technical,0,0.8,7,Low,5,0.09,283,1
30018278,Technical,0,0.87,4,Medium,6,0.92,226,1
30018279,Technical,0,0.91,4,Medium,5,0.74,232,1
30018280,Technical,0,0.82,6,Medium,4,0.09,249,1
30018281,Technical,0,0.95,4,Medium,5,0.89,275,1
30018282,Technical,0,0.8,6,Low,4,0.09,304,1
30018283,Technical,0,0.54,7,Low,3,0.27,278,1
30018284,Technical,0,0.91,6,Low,4,0.1,287,1
30018285,Technical,0,0.89,7,Low,4,0.1,285,1
30018286,Support,0,0.94,5,Low,6,0.77,226,1
30018287,Support,0,0.82,5,Low,5,0.9,259,1
30018288,Support,0,0.5,2,Low,3,0.39,135,1
30018289,Support,0,1,5,Low,5,0.76,219,1
30018290,Support,0,0.93,6,Low,4,0.1,256,1
30018291,Support,0,0.9,5,Low,6,0.87,254,1
30018292,Support,0,0.5,2,Low,3,0.38,153,1
30018293,Support,0,0.99,5,Low,5,0.77,228,1
30018294,Support,0,0.87,4,Low,5,0.78,228,1
30018295,Support,0,0.5,2,Low,3,0.44,128,1
30018296,Support,0,0.52,2,Low,3,0.38,153,1
30018297,Technical,0,0.46,2,Low,3,0.43,156,1
30018298,Technical,0,0.5,4,Low,3,0.39,294,1
30018299,Technical,0,1,5,Low,5,0.88,219,1
30018300,Management,0,0.46,2,Low,3,0.45,153,1
30018301,IT,0,0.53,2,Low,3,0.4,151,1
30018302,IT,0,0.51,2,Low,3,0.36,155,1
30018303,IT,0,0.48,2,Low,3,0.36,158,1
30018304,IT,0,0.98,5,Low,5,0.9,245,1
30018305,IT,0,0.53,2,Low,3,0.43,131,1
30018306,Product Management,0,0.87,5,Low,5,0.89,225,1
30018307,Product Management,0,0.84,6,Low,4,0.1,286,1
30018308,Product Management,0,0.5,2,Low,3,0.37,135,1
30018309,Product Management,0,0.51,2,Low,3,0.37,153,1
30018310,IT,0,0.9,5,Low,5,0.87,252,1
30018311,Accounting,0,0.56,2,Low,3,0.4,149,1
30018312,Accounting,0,0.97,4,Low,5,0.9,258,1
30018313,Human Resource,0,0.46,2,Low,3,0.37,158,1
30018314,Human Resource,0,0.54,2,Low,3,0.44,149,1
30018315,Human Resource,0,0.95,5,Low,5,0.85,236,1
30018316,Marketing,0,0.98,5,Low,6,0.78,239,1
30018317,Marketing,0,0.47,2,Low,3,0.42,159,1
30018318,Sales,0,0.99,5,Low,6,0.92,255,1
30018319,Accounting,0,0.83,6,Low,4,0.11,244,1
30018320,Support,0,0.56,2,Low,3,0.42,134,1
30018321,Technical,0,0.57,4,Low,4,0.48,270,1
30018322,Management,0,0.85,4,Low,5,0.83,255,1
30018323,Marketing,0,0.53,2,Low,3,0.4,151,1
30018324,Marketing,0,0.45,2,Low,3,0.43,135,1
30018325,Marketing,0,0.53,2,Low,3,0.43,146,1
30018326,Sales,0,0.97,7,Low,4,0.1,254,1
30018327,Sales,0,0.87,7,Low,4,0.1,289,1
30018328,Sales,0,0.46,2,Low,3,0.37,156,1
30018329,Sales,0,0.53,2,Low,3,0.38,156,1
30018330,Sales,0,0.5,2,Low,3,0.4,128,1
30018331,Sales,0,0.86,5,Low,5,0.89,275,1
30018332,Sales,0,0.46,2,Low,3,0.45,155,1
30018333,Sales,0,0.48,2,Low,3,0.37,159,1
30018334,Sales,0,0.49,2,Low,3,0.46,148,1
30018335,Sales,0,0.91,4,Low,5,0.87,228,1
30018336,Sales,0,0.84,6,Low,4,0.11,298,1
30018337,Sales,0,0.87,5,Low,5,0.79,261,1
30018338,Sales,0,0.92,5,Low,6,0.79,254,1
30018339,Sales,0,0.59,7,Low,3,0.19,192,1
30018340,Sales,0,0.98,4,Low,5,0.87,248,1
30018341,Sales,0,0.92,2,Low,5,0.6,258,1
30018342,Sales,0,0.45,2,Medium,3,0.44,156,1
30018343,Sales,0,0.81,6,Medium,4,0.11,266,1
30018344,Sales,0,0.54,2,Medium,3,0.42,156,1
30018345,Accounting,0,0.88,5,Medium,5,0.88,232,1
30018346,Accounting,0,0.84,6,Medium,4,0.11,287,1
30018347,Accounting,0,0.46,2,Medium,3,0.46,154,1
30018348,Human Resource,0,0.97,5,Medium,5,0.82,263,1
30018349,Human Resource,0,0.56,2,Medium,3,0.44,131,1
30018350,Human Resource,0,0.78,6,Medium,4,0.11,260,1
30018351,Human Resource,0,0.5,2,Medium,3,0.42,139,1
30018352,Technical,0,0.93,4,Medium,5,0.84,251,1
30018353,Technical,0,0.95,6,Medium,4,0.11,286,1
30018354,Technical,0,0.53,2,HIgh,3,0.45,129,1
30018355,Technical,0,0.56,2,Low,3,0.38,156,1
30018356,Technical,0,0.86,6,Medium,6,0.38,139,1
30018357,Technical,0,0.51,2,Medium,3,0.44,127,1
30018358,Technical,0,0.84,6,Medium,4,0.11,251,1
30018359,Technical,0,0.93,5,Medium,5,0.81,270,1
30018360,Technical,0,0.96,6,Low,4,0.09,296,1
30018361,Technical,0,0.9,6,Low,4,0.11,254,1
30018362,Technical,0,0.95,5,Low,6,0.81,238,1
30018363,Support,0,0.97,6,Low,4,0.1,267,1
30018364,Support,0,0.89,5,Low,6,0.74,229,1
30018365,Support,0,0.78,6,Low,4,0.09,254,1
30018366,Support,0,0.81,4,Low,4,0.82,233,1
30018367,Support,0,0.98,6,Low,4,0.1,268,1
30018368,Support,0,0.56,3,Low,3,0.27,301,1
30018369,Support,0,0.92,5,Low,6,0.83,267,1
30018370,Support,0,0.93,6,Low,4,0.1,289,1
30018371,Support,0,0.47,2,Low,3,0.38,144,1
30018372,Support,0,0.56,2,Low,3,0.4,148,1
30018373,Support,0,0.83,6,Low,4,0.11,306,1
30018374,Technical,1,0.79,6,Low,4,0.11,292,1
30018375,Technical,0,0.91,5,Low,5,0.82,232,1
30018376,Technical,0,0.48,2,Low,3,0.36,137,1
30018377,Management,0,0.46,2,Low,3,0.4,128,1
30018378,IT,0,0.84,5,Low,5,0.87,231,1
30018379,IT,0,0.49,2,Low,3,0.41,146,1
30018380,IT,0,0.91,6,Low,4,0.11,308,1
30018381,IT,0,0.93,6,Medium,4,0.1,253,1
30018382,IT,0,0.51,2,Medium,3,0.38,146,1
30018383,Product Management,0,0.55,2,Medium,3,0.39,156,1
30018384,Product Management,0,0.52,2,Medium,3,0.4,147,1
30018385,Product Management,0,0.48,2,Medium,3,0.45,136,1
30018386,Product Management,0,0.84,5,Medium,5,0.74,249,1
30018387,IT,0,0.55,2,Medium,3,0.45,151,1
30018388,Research and Development,0,1,3,Medium,4,0.12,278,1
30018389,Research and Development,0,0.77,7,Medium,5,0.1,250,1
30018390,Research and Development,0,0.55,2,Medium,3,0.37,127,1
30018391,Research and Development,0,0.87,5,Medium,5,0.89,255,1
30018392,Research and Development,0,0.47,2,Medium,3,0.45,135,1
30018393,Marketing,0,0.46,2,HIgh,3,0.37,149,1
30018394,Sales,0,0.81,5,Low,4,0.11,287,1
30018395,Accounting,0,0.48,2,Medium,3,0.41,145,1
30018396,Support,0,0.94,6,Medium,4,0.1,285,1
30018397,Technical,0,0.93,7,Medium,4,0.1,305,1
30018398,Management,0,0.95,7,Medium,4,0.11,300,1
30018399,Marketing,0,0.54,2,Low,3,0.4,139,1
30018400,Marketing,0,0.49,2,Low,3,0.41,130,1
30018401,Marketing,0,0.81,6,Low,4,0.1,268,1
30018402,Sales,0,0.86,4,Low,6,0.73,245,1
30018403,Sales,0,0.47,2,Low,3,0.43,135,1
30018404,Sales,0,0.46,2,Low,3,0.37,153,1
30018405,Sales,0,0.94,6,Low,4,0.11,276,1
30018406,Sales,0,0.46,2,Low,3,0.4,130,1
30018407,Sales,0,0.54,2,Low,3,0.41,153,1
30018408,Sales,0,0.84,5,Low,5,0.82,244,1
30018409,Sales,0,0.47,2,Low,3,0.61,253,1
30018410,Sales,0,0.91,7,Low,4,0.11,287,1
30018411,Sales,0,0.45,2,Low,3,0.37,131,1
30018412,Sales,0,0.52,2,Low,3,0.41,135,1
30018413,Sales,0,0.52,2,Low,3,0.37,157,1
30018414,Sales,0,0.99,5,Low,6,0.88,262,1
30018415,Sales,0,0.85,6,Low,4,0.1,266,1
30018416,Sales,0,0.48,2,Low,3,0.44,148,1
30018417,Sales,0,0.57,2,Low,3,0.38,140,1
30018418,Sales,0,0.85,7,Low,4,0.11,302,1
30018419,Sales,0,0.98,6,Low,4,0.09,271,1
30018420,Sales,0,0.52,2,Medium,3,0.45,145,1
30018421,Accounting,0,0.81,6,Medium,4,0.1,290,1
30018422,Accounting,0,0.47,2,Medium,3,0.45,151,1
30018423,Accounting,0,0.87,5,Medium,5,0.77,266,1
30018424,Human Resource,0,0.51,2,Medium,3,0.44,140,1
30018425,Human Resource,0,0.5,2,Medium,3,0.39,142,1
30018426,Human Resource,0,0.91,6,Medium,4,0.1,246,1
30018427,Human Resource,0,0.89,7,Medium,5,0.09,308,1
30018428,Technical,0,0.47,2,Medium,3,0.37,141,1
30018429,Technical,0,1,5,Medium,5,0.9,232,1
30018430,Technical,0,0.56,2,Medium,3,0.41,143,1
30018431,Technical,0,0.52,2,Medium,3,0.37,155,1
30018432,Technical,0,0.86,6,HIgh,4,0.1,278,1
30018433,Technical,0,1,4,Low,5,0.81,253,1
30018434,Technical,0,0.8,6,Medium,4,0.11,282,1
30018435,Technical,0,0.84,7,Medium,4,0.11,264,1
30018436,Technical,0,0.46,2,Medium,3,0.4,149,1
30018437,Technical,0,0.8,6,Medium,5,0.09,304,1
30018438,Technical,0,0.93,3,Low,6,0.48,219,1
30018439,Support,0,0.91,4,Low,6,0.91,262,1
30018440,Support,0,0.57,2,Low,3,0.43,135,1
30018441,Support,0,0.88,6,Low,5,0.33,219,1
30018442,Support,0,0.57,2,Low,3,0.41,136,1
30018443,Support,0,0.55,2,Low,3,0.41,154,1
30018444,Support,0,0.54,2,Low,3,0.37,149,1
30018445,Support,0,0.62,6,Low,5,0.31,135,1
30018446,Support,0,0.91,6,Low,4,0.09,275,1
30018447,Support,0,0.87,6,Low,4,0.1,290,1
30018448,Support,0,0.9,4,Low,5,0.76,263,1
30018449,Support,0,0.54,2,Low,3,0.41,145,1
30018450,Technical,0,0.96,5,Low,5,0.72,267,1
30018451,Technical,0,0.5,2,Low,3,0.4,141,1
30018452,Technical,0,0.87,4,Low,5,0.91,235,1
30018453,Management,0,0.83,6,Low,4,0.1,258,1
30018454,IT,0,0.56,2,Low,3,0.4,131,1
30018455,IT,0,0.86,5,Low,5,0.82,243,1
30018456,IT,0,0.82,6,Low,4,0.1,266,1
30018457,IT,0,0.45,2,Low,3,0.37,142,1
30018458,IT,0,0.51,2,Low,3,0.36,135,1
30018459,Product Management,0,0.48,2,Medium,3,0.39,141,1
30018460,Product Management,0,0.57,2,Medium,3,0.36,142,1
30018461,Product Management,0,0.84,5,Medium,5,0.86,254,1
30018462,Product Management,0,0.99,5,Medium,5,0.73,262,1
30018463,IT,0,0.71,4,Medium,2,0.56,296,1
30018464,Accounting,0,0.56,2,Medium,3,0.44,158,1
30018465,Accounting,0,0.56,4,Medium,2,0.31,238,1
30018466,Human Resource,0,0.93,4,Medium,5,0.77,231,1
30018467,Human Resource,0,0.45,2,Medium,3,0.44,156,1
30018468,Human Resource,0,0.46,2,Medium,3,0.38,145,1
30018469,Marketing,0,0.48,2,Medium,3,0.45,144,1
30018470,Sales,0,0.51,2,Medium,3,0.38,159,1
30018471,Accounting,0,0.48,2,HIgh,3,0.36,156,1
30018472,Support,0,0.9,5,Low,5,0.75,256,1
30018473,Technical,0,0.93,6,Medium,4,0.1,298,1
30018474,Management,0,0.97,6,Medium,4,0.1,247,1
30018475,Marketing,0,0.5,2,Medium,3,0.45,157,1
30018476,Marketing,0,0.57,2,Medium,3,0.42,154,1
30018477,Marketing,0,1,4,Low,5,0.78,253,1
30018478,Sales,0,0.55,2,Low,3,0.45,148,1
30018479,Sales,0,1,4,Low,5,0.84,261,1
30018480,Sales,0,0.93,6,Low,4,0.11,282,1
30018481,Sales,0,0.56,2,Low,3,0.42,133,1
30018482,Sales,0,0.46,2,Low,3,0.45,128,1
30018483,Sales,0,0.57,2,Low,3,0.46,139,1
30018484,Sales,0,0.79,6,Low,5,0.09,293,1
30018485,Sales,0,0.83,4,Low,6,0.87,265,1
30018486,Sales,0,0.87,6,Low,4,0.1,250,1
30018487,Sales,0,1,5,Low,6,0.91,251,1
30018488,Sales,0,0.92,4,Low,5,0.76,246,1
30018489,Sales,0,1,5,Low,5,0.74,275,1
30018490,Sales,0,0.93,5,Low,5,0.92,240,1
30018491,Sales,0,0.87,5,Low,5,0.76,245,1
30018492,Sales,0,0.5,4,Low,4,0.47,254,1
30018493,Sales,0,0.99,5,Low,5,0.73,241,1
30018494,Sales,0,0.94,6,Low,4,0.09,257,1
30018495,Sales,0,0.92,4,Low,5,0.91,246,1
30018496,Sales,0,0.98,4,Low,5,0.82,233,1
30018497,Accounting,0,0.45,6,Low,4,0.28,218,1
30018498,Accounting,0,0.99,4,Medium,6,0.84,262,1
30018499,Accounting,0,0.53,2,Medium,3,0.45,138,1
30018500,Human Resource,0,0.54,2,Medium,3,0.45,142,1
30018501,Human Resource,0,0.97,5,Medium,5,0.91,233,1
30018502,Human Resource,0,0.48,2,Medium,3,0.42,155,1
30018503,Human Resource,0,1,4,Medium,6,0.82,229,1
30018504,Technical,0,0.9,6,Medium,4,0.11,264,1
30018505,Technical,0,0.53,3,Medium,4,0.42,199,1
30018506,Technical,0,0.85,4,Medium,5,0.82,223,1
30018507,Technical,0,0.96,6,Medium,4,0.09,268,1
30018508,Technical,0,0.94,6,Medium,4,0.1,287,1
30018509,Technical,0,1,5,Medium,5,0.86,257,1
30018510,Technical,0,0.46,2,HIgh,3,0.4,143,1
30018511,Technical,0,0.46,2,Low,3,0.45,130,1
30018512,Technical,0,0.51,2,Medium,3,0.42,136,1
30018513,Technical,0,0.92,4,Medium,5,0.74,261,1
30018514,Technical,0,0.6,3,Medium,4,0.55,180,1
30018515,Support,0,0.45,2,Medium,3,0.37,126,1
30018516,Support,0,0.52,2,Low,3,0.41,127,1
30018517,Support,0,0.65,5,Low,6,0.89,195,1
30018518,Support,0,0.57,2,Low,3,0.41,160,1
30018519,Support,0,0.51,2,Low,3,0.44,150,1
30018520,Support,0,0.84,4,Low,6,0.87,264,1
30018521,Support,0,0.84,6,Low,4,0.1,309,1
30018522,Support,0,0.47,2,Low,3,0.41,135,1
30018523,Support,0,0.85,6,Low,4,0.11,261,1
30018524,Support,0,0.53,2,Low,3,0.43,160,1
30018525,Support,0,0.9,4,Low,5,0.77,237,1
30018526,Technical,0,0.52,2,Low,3,0.41,136,1
30018527,Technical,0,0.48,2,Low,3,0.41,139,1
30018528,Technical,0,0.78,2,Low,4,0.36,151,1
30018529,Management,0,1,5,Low,5,0.77,229,1
30018530,IT,0,0.98,5,Low,5,0.81,245,1
30018531,IT,0,0.54,2,Low,3,0.39,127,1
30018532,IT,0,0.94,6,Low,5,0.09,283,1
30018533,IT,0,0.46,2,Low,3,0.44,143,1
30018534,IT,0,0.84,5,Low,4,0.1,298,1
30018535,Product Management,0,0.48,2,Low,3,0.36,159,1
30018536,Product Management,0,0.92,5,Low,5,0.81,239,1
30018537,Product Management,0,0.9,4,Medium,5,0.81,226,1
30018538,Product Management,0,0.98,5,Medium,5,0.85,248,1
30018539,IT,0,0.87,6,Medium,4,0.1,286,1
30018540,Research and Development,0,0.54,2,Medium,3,0.37,145,1
30018541,Research and Development,0,0.97,7,Medium,4,0.09,254,1
30018542,Research and Development,0,0.53,2,Medium,3,0.44,127,1
30018543,Research and Development,0,0.93,5,Medium,5,0.86,223,1
30018544,Research and Development,0,1,4,Medium,5,0.77,255,1
30018545,Marketing,0,0.48,2,Medium,3,0.41,136,1
30018546,Sales,0,0.48,2,Medium,3,0.4,137,1
30018547,Accounting,0,0.49,2,Medium,3,0.43,135,1
30018548,Support,0,0.5,2,Medium,3,0.43,137,1
30018549,Technical,0,0.53,3,HIgh,5,0.8,255,1
30018550,Management,0,0.85,4,Low,5,0.8,273,1
30018551,Marketing,0,0.98,5,Medium,5,0.82,234,1
30018552,Marketing,0,0.54,2,Medium,3,0.37,152,1
30018553,Marketing,0,0.48,2,Medium,3,0.37,134,1
30018554,Sales,0,0.95,6,Medium,4,0.09,292,1
30018555,Sales,0,0.92,5,Low,5,0.9,245,1
30018556,Sales,0,0.52,2,Low,3,0.41,159,1
30018557,Sales,0,0.85,6,Low,4,0.1,260,1
30018558,Sales,0,0.53,2,Low,3,0.44,149,1
30018559,Sales,0,0.85,5,Low,5,0.89,266,1
